Loading mergedDataset.csv
Done
Packet_Length_Std: 4.1935807952528
Bwd_Packet_Length_Mean: 3.8003343362241178
Total_Length_of_Bwd_Packets: 3.7225720565190192
Total_Length_of_Fwd_Packets: 3.6487138125610863
Avg_Bwd_Segment_Size: 3.552516778659054
Init_Win_bytes_forward: 3.5359598959978524
Bwd_Packet_Length_Max: 3.2947945879849687
Average_Packet_Size: 3.2516439882856534
Fwd_Packet_Length_Mean: 2.9891078663866453
Packet_Length_Variance: 2.9798848658648045
Fwd_Packet_Length_Max: 2.890209578505312
Subflow_Fwd_Bytes: 2.8141016836188406
Bwd_Packet_Length_Min: 2.732739380617137
Avg_Fwd_Segment_Size: 2.5844026017642014
Flow_Packets/s: 2.5406487345241855
Bwd_Packet_Length_Std: 2.4792469729623647
Subflow_Bwd_Bytes: 2.4086894792331077
Max_Packet_Length: 2.3729996992445073
PSH_Flag_Count: 2.0712443438348362
Fwd_Header_Length: 2.0468626129830882
Packet_Length_Mean: 1.9201748720321585
Fwd_Header_Length.1: 1.9010562448031842
Init_Win_bytes_backward: 1.8805160947730646
Fwd_IAT_Max: 1.818555008094241
Flow_IAT_Mean: 1.8000398891526592
Flow_IAT_Max: 1.611541268662215
min_seg_size_forward: 1.608837129508737
Fwd_IAT_Mean: 1.5227482277975501
Fwd_IAT_Std: 1.5085659657307557
Fwd_Packet_Length_Std: 1.501215548765741
Total_Fwd_Packets: 1.4213337028753084
Bwd_Packets/s: 1.3923704393978082
Flow_IAT_Std: 1.3023333719114085
Bwd_Header_Length: 1.294176183640074
Flow_Bytes/s: 1.2937509506358529
act_data_pkt_fwd: 1.2763508010376405
Fwd_IAT_Total: 1.2414808794068506
Subflow_Fwd_Packets: 1.205353110935438
Fwd_Packets/s: 1.1512180115215995
ACK_Flag_Count: 1.007451033613319
Flow_Duration: 0.9692982959403397
Fwd_IAT_Min: 0.7608489706536694
Total_Backward_Packets: 0.7550645431095155
Fwd_Packet_Length_Min: 0.7540306931836247
Idle_Max: 0.6877526947156352
Idle_Min: 0.672279682819592
Flow_IAT_Min: 0.5685731256305222
Subflow_Bwd_Packets: 0.5480676246430607
Protocol: 0.49830507080969155
Idle_Std: 0.39935817114149
URG_Flag_Count: 0.3851302212640864
Bwd_IAT_Std: 0.37697892806284283
Min_Packet_Length: 0.3167988558080737
Down/Up_Ratio: 0.3120537333706869
Active_Min: 0.2746319325570412
Bwd_IAT_Max: 0.2735113737290659
Active_Mean: 0.26840479716946575
Active_Max: 0.25755561809022465
Bwd_IAT_Mean: 0.23479573353285865
Bwd_IAT_Total: 0.22554767731831796
Idle_Mean: 0.2110989638557109
Fwd_PSH_Flags: 0.20890759489811178
SYN_Flag_Count: 0.1701782799547097
Bwd_IAT_Min: 0.16612897484858524
FIN_Flag_Count: 0.08951121491929638
Active_Std: 0.04585644944759601
RST_Flag_Count: 7.973207003185245e-06
Bwd_PSH_Flags: 0.0
Fwd_URG_Flags: 0.0
Bwd_URG_Flags: 0.0
CWE_Flag_Count: 0.0
ECE_Flag_Count: 0.0
Fwd_Avg_Bytes/Bulk: 0.0
Fwd_Avg_Packets/Bulk: 0.0
Fwd_Avg_Bulk_Rate: 0.0
Bwd_Avg_Bytes/Bulk: 0.0
Bwd_Avg_Packets/Bulk: 0.0
Bwd_Avg_Bulk_Rate: 0.0
